Symbol,'Market Cap',' Average Volume',' Previous Close',' Open',' Book Value',' Last Trade Price',' 200 Day Moving Average',' 50 Day Moving Average',' Change from 200 Day',' Change from 50 Day',' Earnings Share',' Estimate EPS Next Quarter',' Estimate EPS Next Year',' Next Year EPS Price Estimate',' Current Year Price EPS Estimate',' Day High',' Day Low',' Year High',' Year Low',' PEG Ratio',' PE Ratio',' Short Ratio'
AXAS,0.000483,0.022099,0.005955,0.00592,0.112561,0.00623,0.007234,0.005608,0.367084,0.329581,0.647491,0.085284,0.069308,0.01618,0.005205,0.006281,0.005973,0.009698,0.004726,0.002135,0.000859,0.107728
ACAD,0.004576,0.003411,0.061941,0.062145,0.121614,0.061775,0.04978,0.061379,0.44016,0.341445,0.628472,0.070792,0.058044,0.01282,0.01569,0.061908,0.061506,0.05617,0.031839,0.017322,0.009461,0.28103
ACHN,0.001469,0.071761,0.020863,0.019883,0.109822,0.019736,0.021119,0.025942,0.36356,0.296814,0.630797,0.073021,0.056586,0.01282,0.01569,0.020124,0.019717,0.026653,0.00497,0.017322,0.009461,0.0726
ATVI,0.022453,0.089423,0.042108,0.041996,0.159018,0.041991,0.037779,0.038914,0.395164,0.350909,0.654506,0.088629,0.087199,0.008569,0.011857,0.042269,0.04225,0.038548,0.036097,0.012602,0.004087,0.0726
ADBE,0.050298,0.019893,0.135697,0.13624,0.178878,0.135932,0.126848,0.137742,0.415788,0.347262,0.646396,0.10981,0.111317,0.012324,0.022492,0.135767,0.136481,0.125406,0.116398,0.011196,0.029753,0.032787
ADXS,0.000228,0.00275,0.013855,0.013457,0.109033,0.013047,0.008318,0.017551,0.40095,0.304199,0.626174,0.068004,0.056454,0.01282,0.01569,0.013449,0.013031,0.02156,0.004991,0.017322,0.009461,0.014052
ADVS,0.003096,0.000377,0.081495,0.081238,0.096241,0.080534,0.059562,0.069915,0.492442,0.399672,0.651924,0.105351,0.089451,0.014909,0.01811,0.080451,0.081619,0.071286,0.051762,0.014684,0.009898,0.032787
AFFX,0.001159,0.000484,0.020695,0.020661,0.123659,0.021118,0.016189,0.02045,0.40141,0.333322,0.638529,0.087514,0.072489,0.017656,0.023798,0.021049,0.020778,0.01855,0.012711,0.005624,0.009461,0.154567
AGEN,0.000421,0.011507,0.009152,0.009161,0.107527,0.009066,0.006121,0.009111,0.39059,0.326736,0.633487,0.085842,0.061357,0.01282,0.01569,0.009079,0.009055,0.009763,0.004604,0.017322,0.009461,0.023419
AKAM,0.015879,0.00495,0.118484,0.118925,0.195065,0.120047,0.108426,0.116599,0.432516,0.371204,0.664103,0.118729,0.11039,0.010987,0.015273,0.120352,0.118771,0.105603,0.102893,0.008019,0.00727,0.0726
AKRX,0.006955,0.004578,0.08748,0.087738,0.119774,0.086866,0.069459,0.079036,0.470406,0.386475,0.641854,0.108138,0.091969,0.01433,0.026706,0.086778,0.086982,0.077307,0.04178,0.00604,0.052625,0.149883
ALXN,0.047851,0.002631,0.322483,0.324674,0.195371,0.318801,0.319324,0.345715,0.341054,0.258079,0.683297,0.162207,0.164856,0.013126,0.018799,0.321612,0.321294,0.330006,0.277776,0.005936,0.01132,0.044496
ALKS,0.014273,0.001149,0.131031,0.131925,0.153922,0.131448,0.093562,0.127172,0.589506,0.378249,0.63542,0.081382,0.071031,0.163584,0.167895,0.131598,0.130112,0.119109,0.078387,0.191418,0.009461,0.070258
MDRX,0.002919,0.018647,0.021587,0.021569,0.142741,0.021804,0.023791,0.023657,0.35973,0.320215,0.632744,0.089186,0.074079,0.013695,0.02327,0.021788,0.021653,0.031225,0.022387,0.008436,0.009461,0.128806
ALTR,0.014362,0.023869,0.063744,0.063737,0.163569,0.063953,0.062942,0.067153,0.373865,0.323024,0.659778,0.105351,0.093427,0.009822,0.013362,0.064084,0.063853,0.062093,0.062049,0.01005,0.004636,0.058548
AMRN,0.000288,0.006728,0.002163,0.002123,0.100986,0.002221,0.002027,0.001872,0.374668,0.327202,0.632081,0.083612,0.063212,0.01282,0.01569,0.002185,0.002155,0.002603,0.001569,0.017322,0.009461,0.620609
AMZN,0.237803,0.040559,0.697283,0.694598,0.231552,0.689589,0.574896,0.611638,1,0.897269,0.632176,0.074136,0.098065,0.091595,0.574545,0.692094,0.694866,0.622587,0.578509,0.185951,0.009461,0.032787
AAL,0.046493,0.147159,0.088447,0.086738,0.11908,0.08866,0.077395,0.098023,0.43328,0.296387,0.692353,0.268116,0.185264,0.002914,0.002792,0.088625,0.086368,0.090649,0.057221,0.000989,0.002355,0.018735
AGNC,0.010393,0.029472,0.039915,0.039829,0.2464,0.039666,0.040416,0.041581,0.365526,0.324086,0.629472,0.083612,0.067851,0.01282,0.01569,0.039709,0.039904,0.038352,0.04284,0.017322,0.009461,0.032787
ACAS,0.005225,0.00933,0.026755,0.026717,0.217332,0.026563,0.0264,0.027583,0.372225,0.325711,0.649451,0.093645,0.078055,0.010341,0.015099,0.026853,0.026793,0.025628,0.027663,0.0402,0.003869,0.042155
AMGN,0.157493,0.029954,0.284583,0.285432,0.291673,0.278973,0.267781,0.298769,0.415229,0.28619,0.729795,0.215162,0.206997,0.008045,0.010512,0.283064,0.281385,0.28093,0.220391,0.007603,0.004697,0.044496
FOLD,0.000904,0.010384,0.015063,0.015105,0.106227,0.015362,0.011928,0.015339,0.392949,0.328575,0.627093,0.073579,0.057116,0.01282,0.01569,0.015442,0.015005,0.014872,0.003585,0.017322,0.009461,0.06089
AMKR,0.002829,0.004168,0.016141,0.016161,0.129449,0.016058,0.013777,0.013049,0.385939,0.344456,0.648342,0.093645,0.080705,0.004914,0.006987,0.016147,0.016104,0.019168,0.010389,0.003281,0.002525,0.063232
ADI,0.023718,0.012496,0.103373,0.104313,0.188153,0.102642,0.092479,0.103854,0.425355,0.342584,0.665995,0.122074,0.109329,0.009822,0.012552,0.103217,0.104161,0.093562,0.086698,0.009113,0.00584,0.086651
APOL,0.003789,0.005012,0.047406,0.047588,0.164291,0.047088,0.050508,0.053311,0.348764,0.303149,0.65679,0.120959,0.090512,0.008235,0.011979,0.047864,0.047744,0.05656,0.047443,0.070767,0.003997,0.149883
AINV,0.034716,0.016142,0.013874,0.013883,0.103192,0.013715,0.014282,0.013835,0.369025,0.327431,0.639232,0.095875,0.079512,0.004652,0.004915,0.013778,0.01385,0.014189,0.013832,0.023589,0.009461,0.099979
AAPL,1,0.63732,0.23211,0.233245,0.220816,0.23121,0.191863,0.216439,0.58906,0.456938,0.739055,0.175585,0.189239,0.007516,0.009271,0.233051,0.233804,0.202468,0.148782,0.005832,0.003402,0.018735
AMAT,0.039445,0.141162,0.045082,0.043736,0.139001,0.043482,0.04052,0.045736,0.387507,0.323196,0.650991,0.103122,0.088391,0.008641,0.012011,0.04439,0.04387,0.041037,0.036097,0.008019,0.005796,0.124122
AREX,0.000454,0.008444,0.015398,0.01568,0.208374,0.015545,0.020623,0.012304,0.341712,0.34556,0.671416,0.083055,0.066525,0.01282,0.007019,0.016671,0.015657,0.038255,0.008698,0.003176,0.000473,0.156909
ARNA,0.001352,0.083528,0.008242,0.008198,0.105121,0.00827,0.007445,0.00858,0.377906,0.325155,0.635988,0.075251,0.062815,0.01282,0.01569,0.008311,0.008096,0.011179,0.00662,0.004687,0.009461,0.053864
ARCC,0.034716,0.0159,0.030844,0.030736,0.103192,0.030708,0.029086,0.030731,0.38062,0.331937,0.639232,0.105351,0.089054,0.005705,0.007225,0.030638,0.030797,0.029517,0.029782,0.017322,0.009461,0.099979
ARIA,0.001748,0.058851,0.012591,0.012587,0.105599,0.012571,0.010916,0.012491,0.382503,0.328219,0.622484,0.070234,0.058309,0.01282,0.01569,0.012626,0.012677,0.014205,0.009961,0.017322,0.009461,0.210773
ARMH,0.032036,0.007198,0.093503,0.092461,0.129466,0.092027,0.080096,0.08931,0.436978,0.360776,0.646896,0.102007,0.086668,0.019662,0.028057,0.09219,0.092885,0.085247,0.076879,0.012497,0.019064,0.119438
