TFSC,1347 Capital Corp.,Finance,Business Services,NASDAQ
TFSCR,1347 Capital Corp.,Finance,Business Services,NASDAQ
TFSCU,1347 Capital Corp.,n/a,n/a,NASDAQ
TFSCW,1347 Capital Corp.,Finance,Business Services,NASDAQ
PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers,NASDAQ
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores,NASDAQ
FCTY,"1st Century Bancshares, Inc",Finance,Major Banks,NASDAQ
FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions,NASDAQ
SRCE,1st Source Corporation,Finance,Major Banks,NASDAQ
FUBC,"1st United Bancorp, Inc. (FL)",Finance,Major Banks,NASDAQ
VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing",NASDAQ
TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
JOBS,"51job, Inc.",Technology,Diversified Commercial Services,NASDAQ
EGHT,8x8 Inc,Public Utilities,Telecommunications Equipment,NASDAQ
AVHI,"A V Homes, Inc.",Capital Goods,Homebuilding,NASDAQ
SHLM,"A. Schulman, Inc.",Basic Industries,Major Chemicals,NASDAQ
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ
ASTM,"Aastrom Biosciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ABAX,"ABAXIS, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ
ABY,Abengoa Yield plc,Public Utilities,Electric Utilities: Central,NASDAQ
ABGB,"Abengoa, S.A.",Consumer Services,Military/Government/Technical,NASDAQ
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production,NASDAQ
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies,NASDAQ
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,NASDAQ
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ANCX,Access National Corporation,Finance,Savings Institutions,NASDAQ
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments,NASDAQ
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ACET,Aceto Corporation,Consumer Durables,Specialty Chemicals,NASDAQ
AKAO,"Achaogen, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
ACNB,ACNB Corporation,Finance,Major Banks,NASDAQ
ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ACFN,"Acorn Energy, Inc.",Consumer Services,Military/Government/Technical,NASDAQ
ACTS,"Actions Semiconductor Co., Ltd.",Technology,Semiconductors,NASDAQ
ACPW,"Active Power, Inc.",Public Utilities,Electric Utilities: Central,NASDAQ
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software,NASDAQ
ACTA,Actua Corporation,n/a,n/a,NASDAQ
BIRT,Actuate Corporation,Technology,Computer Software: Prepackaged Software,NASDAQ
ACUR,"Acura Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ACXM,Acxiom Corporation,Technology,EDP Services,NASDAQ
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals,NASDAQ
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,NASDAQ
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services,NASDAQ
ADEP,"Adept Technology, Inc.",Technology,Industrial Machinery/Components,NASDAQ
ADBE,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,NASDAQ
ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment,NASDAQ
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals,NASDAQ
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ
ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ADXSW,"Advaxis, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ADVS,"Advent Software, Inc.",Technology,EDP Services,NASDAQ
MULT,AdvisorShares Sunrise Global Multi-Strategy ETF,n/a,n/a,NASDAQ
YPRO,AdvisorShares YieldPro ETF,n/a,n/a,NASDAQ
AEGR,"Aegerion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AEGN,Aegion Corp,Basic Industries,Water Supply,NASDAQ
AEHR,Aehr Test Systems,Capital Goods,Electrical Products,NASDAQ
AMTX,"Aemetis, Inc",Basic Industries,Major Chemicals,NASDAQ
AEPI,AEP Industries Inc.,Capital Goods,Specialty Chemicals,NASDAQ
AERI,"Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
AVAV,"AeroVironment, Inc.",Capital Goods,Aerospace,NASDAQ
AEZS,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals,NASDAQ
ATRM,Aetrium Incorporated,Capital Goods,Electrical Products,NASDAQ
AFMD,Affimed Therapeutics B.V.,n/a,n/a,NASDAQ
AFFX,"Affymetrix, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
AGRX,"Agile Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AGYS,"Agilysys, Inc.",Technology,EDP Services,NASDAQ
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AIRM,Air Methods Corporation,Transportation,Transportation Services,NASDAQ
AIRT,"Air T, Inc.",Transportation,Air Freight/Delivery Services,NASDAQ
ATSG,"Air Transport Services Group, Inc",Transportation,Air Freight/Delivery Services,NASDAQ
AMCN,AirMedia Group Inc,Technology,Advertising,NASDAQ
AIXG,Aixtron SE,Technology,Industrial Machinery/Components,NASDAQ
AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services,NASDAQ
AKBA,"Akebia Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AKER,Akers Biosciences Inc,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,NASDAQ
AKRX,"Akorn, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,Telecommunications Equipment,NASDAQ
AMRI,"Albany Molecular Research, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch,NASDAQ
ABDC,Alcentra Capital Corp.,n/a,n/a,NASDAQ
ALCS,"ALCO Stores, Inc.",Consumer Services,Department/Specialty Retail Stores,NASDAQ
ADHD,Alcobra Ltd.,Health Care,Major Pharmaceuticals,NASDAQ
ALDR,"Alder BioPharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ALDX,"Aldeyra Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ALXA,"Alexza Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ALCO,"Alico, Inc.",Consumer Non-Durables,Farming/Seeds/Milling,NASDAQ
ALGN,"Align Technology, Inc.",Health Care,Industrial Specialties,NASDAQ
ALIM,"Alimera Sciences, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ALKS,Alkermes plc,Health Care,Major Pharmaceuticals,NASDAQ
ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services,NASDAQ
ALLB,"Alliance Bancorp, Inc. of Pennsylvania",Finance,Savings Institutions,NASDAQ
AFOP,"Alliance Fiber Optic Products, Inc.",Technology,Semiconductors,NASDAQ
AIQ,"Alliance HealthCare Services, Inc.",Health Care,Medical Specialities,NASDAQ
AHGP,"Alliance Holdings GP, L.P.",Energy,Coal Mining,NASDAQ
ARLP,"Alliance Resource Partners, L.P.",Energy,Coal Mining,NASDAQ
AHPI,"Allied Healthcare Products, Inc.",Health Care,Industrial Specialties,NASDAQ
AMOT,"Allied Motion Technologies, Inc.",Capital Goods,Electrical Products,NASDAQ
ALQA,"Alliqua, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
ALLT,Allot Communications Ltd.,Technology,Computer Communications Equipment,NASDAQ
MDRX,"Allscripts Healthcare Solutions, Inc.",Technology,EDP Services,NASDAQ
AFAM,Almost Family Inc,Health Care,Medical/Nursing Services,NASDAQ
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors,NASDAQ
ATEC,"Alphatec Holdings, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
ALTI,Altair Nanotechnologies Inc.,Basic Industries,Major Chemicals,NASDAQ
ALTR,Altera Corporation,Technology,Semiconductors,NASDAQ
ASPS,Altisource Portfolio Solutions S.A.,Consumer Services,Other Consumer Services,NASDAQ
APSA,Alto Palermo S.A.,Consumer Services,Building operators,NASDAQ
AIMC,Altra Industrial Motion Corp.,Capital Goods,Industrial Machinery/Components,NASDAQ
AMAG,"AMAG Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AMRN,Amarin Corporation PLC,Health Care,Major Pharmaceuticals,NASDAQ
AMRK,"A-Mark Precious Metals, Inc.",Basic Industries,Other Specialty Stores,NASDAQ
AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution,NASDAQ
AMBC,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers,NASDAQ
AMBCW,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers,NASDAQ
AMBA,"Ambarella, Inc.",Technology,Semiconductors,NASDAQ
EPAX,"Ambassadors Group, Inc.",Consumer Services,Other Consumer Services,NASDAQ
AMBI,Ambit Biosciences Corporation,Health Care,Major Pharmaceuticals,NASDAQ
AMCX,AMC Networks Inc.,Consumer Services,Television Services,NASDAQ
DOX,Amdocs Limited,Technology,EDP Services,NASDAQ
AMDA,Amedica Corporation,Health Care,Medical/Dental Instruments,NASDAQ
AMED,Amedisys Inc,Health Care,Medical/Nursing Services,NASDAQ
UHAL,Amerco,Consumer Services,Rental/Leasing Companies,NASDAQ
ASBI,Ameriana Bancorp,Finance,Savings Institutions,NASDAQ
ATAX,"America First Multifamily Investors, L.P.",Finance,Finance: Consumer Services,NASDAQ
AMOV,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment,NASDAQ
AAL,"American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services,NASDAQ
AGNC,American Capital Agency Corp.,Consumer Services,Real Estate Investment Trusts,NASDAQ
AGNCB,American Capital Agency Corp.,Consumer Services,Real Estate Investment Trusts,NASDAQ
AGNCP,American Capital Agency Corp.,Consumer Services,Real Estate Investment Trusts,NASDAQ
MTGE,American Capital Mortgage Investment Corp.,Consumer Services,Real Estate Investment Trusts,NASDAQ
MTGEP,American Capital Mortgage Investment Corp.,Consumer Services,Real Estate Investment Trusts,NASDAQ
ACSF,"American Capital Senior Floating, Ltd.",n/a,n/a,NASDAQ
ACAS,"American Capital, Ltd.",n/a,n/a,NASDAQ
ANCI,American Caresource Holdings Inc,Health Care,Hospital/Nursing Management,NASDAQ
AETI,"American Electric Technologies, Inc.",Energy,Industrial Machinery/Components,NASDAQ
AMIC,American Independence Corp.,Finance,Accident &Health Insurance,NASDAQ
AMNB,"American National Bankshares, Inc.",Finance,Major Banks,NASDAQ
ANAT,American National Insurance Company,Finance,Life Insurance,NASDAQ
APEI,"American Public Education, Inc.",Consumer Services,Other Consumer Services,NASDAQ
ARII,"American Railcar Industries, Inc.",Capital Goods,Railroads,NASDAQ
HCT,"American Realty Capital Healthcare Trust, Inc.",Consumer Services,Real Estate Investment Trusts,NASDAQ
ARCP,"American Realty Capital Properties, Inc.",Consumer Services,Real Estate Investment Trusts,NASDAQ
ARCPP,"American Realty Capital Properties, Inc.",Consumer Services,Real Estate Investment Trusts,NASDAQ
AMRB,American River Bankshares,Finance,Major Banks,NASDAQ
ASEI,"American Science and Engineering, Inc.",Health Care,Medical Electronics,NASDAQ
AMSWA,"American Software, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
AMSC,American Superconductor Corporation,Consumer Durables,Metal Fabrications,NASDAQ
AMWD,American Woodmark Corporation,Basic Industries,Forest Products,NASDAQ
CRMT,"America&#39;s Car-Mart, Inc.",Consumer Durables,Automotive Aftermarket,NASDAQ
ABCB,Ameris Bancorp,Finance,Major Banks,NASDAQ
AMSF,"AMERISAFE, Inc.",Finance,Property-Casualty Insurers,NASDAQ
ASRV,AmeriServ Financial Inc.,Finance,Major Banks,NASDAQ
ASRVP,AmeriServ Financial Inc.,Finance,Major Banks,NASDAQ
ATLO,Ames National Corporation,Finance,Major Banks,NASDAQ
AMGN,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
FOLD,"Amicus Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AMKR,"Amkor Technology, Inc.",Technology,Semiconductors,NASDAQ
AMPH,"Amphastar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AMSG,Amsurg Corp.,Health Care,Medical/Nursing Services,NASDAQ
AMSGP,Amsurg Corp.,Health Care,Medical/Nursing Services,NASDAQ
ASYS,"Amtech Systems, Inc.",Technology,Industrial Machinery/Components,NASDAQ
AFSI,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers,NASDAQ
AMRS,"Amyris, Inc.",Basic Industries,Major Chemicals,NASDAQ
ANAC,"Anacor Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ANAD,"ANADIGICS, Inc.",Technology,Semiconductors,NASDAQ
ADI,"Analog Devices, Inc.",Technology,Semiconductors,NASDAQ
ALOG,Analogic Corporation,Capital Goods,Electrical Products,NASDAQ
ANCB,Anchor Bancorp,Finance,Banks,NASDAQ
AMCF,Andatee China Marine Fuel Services Corporation,Energy,Oil Refining/Marketing,NASDAQ
ANGI,"Angie&#39;s List, Inc.",Consumer Services,Advertising,NASDAQ
ANGO,"AngioDynamics, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ANIK,Anika Therapeutics Inc.,Health Care,Medical/Dental Instruments,NASDAQ
ANSS,"ANSYS, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
ATRS,"Antares Pharma, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
ANTH,"Anthera Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ABAC,"Aoxin Tianli Group, Inc.",Consumer Non-Durables,Farming/Seeds/Milling,NASDAQ
APAGF,Apco Oil and Gas International Inc.,Energy,Oil & Gas Production,NASDAQ
ATNY,API Technologies Corp.,Technology,Semiconductors,NASDAQ
APOG,"Apogee Enterprises, Inc.",Capital Goods,Auto Parts:O.E.M.,NASDAQ
APOL,"Apollo Education Group, Inc.",Consumer Services,Other Consumer Services,NASDAQ
AINV,Apollo Investment Corporation,n/a,n/a,NASDAQ
AAPL,Apple Inc.,Technology,Computer Manufacturing,NASDAQ
ARCI,"Appliance Recycling Centers of America, Inc.",Consumer Services,Home Furnishings,NASDAQ
AGTC,Applied Genetic Technologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
AMAT,"Applied Materials, Inc.",Technology,Semiconductors,NASDAQ
AMCC,Applied Micro Circuits Corporation,Technology,Semiconductors,NASDAQ
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,NASDAQ
AREX,Approach Resources Inc.,Energy,Oil & Gas Production,NASDAQ
APRI,"Apricus Biosciences, Inc",Health Care,Major Pharmaceuticals,NASDAQ
AQU,Aquasition Corp.,Finance,Business Services,NASDAQ
AQXP,"Aquinox Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ARDM,Aradigm Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
PETX,"Aratana Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ARCW,"ARC Group Worldwide, Inc.",Capital Goods,Metal Fabrications,NASDAQ
ABIO,"ARCA biopharma, Inc.",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,NASDAQ
ARCB,ArcBest Corporation,Transportation,Trucking Freight/Courier Services,NASDAQ
ACGL,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers,NASDAQ
ACAT,Arctic Cat Inc.,Capital Goods,Industrial Specialties,NASDAQ
ARDX,"Ardelyx, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ARNA,"Arena Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ARCC,Ares Capital Corporation,n/a,n/a,NASDAQ
AGII,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers,NASDAQ
